relative_path,road,classID,class,Mean_MFCC,Std_MFCC,Leq_dBA,Adjusted_Leq_dBA,Speed_kmh
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-0.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),7,heavy truck,-34.769737,19.53379,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-1.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),1,motorcycle,-36.166203,23.072033,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-2.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),1,motorcycle,-38.5053,22.511051,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-3.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),9,PSV,-33.746513,18.767944,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-4.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),9,PSV,-33.407093,19.739256,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-5.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),10,other,-32.41687,18.381893,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-6.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),10,other,-34.849407,20.291727,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-7.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),7,heavy truck,-32.132523,20.503584,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-8.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),7,heavy truck,-33.907722,20.00882,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-9.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),3,SUV,-34.9478,17.076727,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-10.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),3,SUV,-38.19751,18.164574,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-11.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),3,SUV,-36.664925,17.471521,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-12.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),3,SUV,-34.847145,17.531923,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-13.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),10,other,-34.96954,17.358759,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-14.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),3,SUV,-35.89901,19.737099,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-15.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),9,PSV,-34.435448,18.515766,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-16.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),3,SUV,-33.84897,18.634792,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-17.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),10,other,-35.040504,18.035788,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-18.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),8,bus,-38.312668,19.810762,64.54484803497452,64.67954621408177,37.71
Around Arya School(1°16_32_ S 36°49_29_ E)\Around Arya School(1°16_32_ S 36°49_29_ E)--1-19.wav,AROUND ARYA SCHOOL(1°16_32_ S 36°49_29_ E),8,bus,-35.057884,19.250582,64.54484803497452,64.67954621408177,37.71
